Task ID,O*NET-SOC Code,Occupation (O*NET-SOC Title),Task,Occupation Mean Annual Wage,Occupation Employment,Frequency,Importance,Expert_Automation Capacity Rating,Expert_N_Raters,Worker_N_Respondents,Time Cost Score,Time Share Proxy,Market Scale,Frequency Intensity,Importance Intensity,Task Exposure,Automation Potential,Economic Potential Raw,ROI Index,ROI Data Complete,Data Confidence,Strategy Zone
1282,15-1232.00,Computer User Support Specialists,Answer user inquiries regarding computer software or hardware operation to resolve problems.,64990.000000,697210.000000,7.000000,3.790000,4.500000,2.000000,10.000000,2.600000,0.460000,0.818182,1.000000,0.697500,0.654375,0.875000,0.468473,1.000000,True,Trung bình,Tự động hóa ngay
1285,15-1232.00,Computer User Support Specialists,Oversee the daily performance of computer systems.,64990.000000,697210.000000,5.000000,3.990000,5.000000,2.000000,8.000000,2.250000,0.381250,0.818182,0.666667,0.747500,0.544167,1.000000,0.445227,0.949402,True,Trung bình,Tự động hóa ngay
1287,15-1232.00,Computer User Support Specialists,"Maintain records of daily data communication transactions, problems and remedial actions taken, or installation activities.",64990.000000,697210.000000,5.000000,3.470000,4.666667,3.000000,6.000000,2.500000,0.437500,0.818182,0.666667,0.617500,0.539792,0.916667,0.404844,0.861502,True,Trung bình,Tự động hóa ngay
966,11-3021.00,Computer and Information Systems Managers,"Manage backup, security and user help systems.",187990.000000,645970.000000,5.000000,4.190000,3.500000,2.000000,10.000000,2.900000,0.527500,1.000000,0.666667,0.797500,0.629792,0.625000,0.393620,0.837071,True,Trung bình,Tự động hóa ngay
1283,15-1232.00,Computer User Support Specialists,Enter commands and observe system functioning to verify correct operations and detect errors.,64990.000000,697210.000000,5.000000,3.570000,4.666667,3.000000,7.000000,2.285714,0.389286,0.818182,0.666667,0.642500,0.521935,0.916667,0.391451,0.832350,True,Trung bình,Tự động hóa ngay
15206,15-1244.00,Network and Computer Systems Administrators,"Configure, monitor, and maintain email applications or virus protection software.",101190.000000,318570.000000,5.000000,3.970000,5.000000,2.000000,8.000000,2.000000,0.325000,0.727273,0.666667,0.742500,0.514792,1.000000,0.374394,0.795223,True,Trung bình,Tự động hóa ngay
3466,15-1211.00,Computer Systems Analysts,"Use object-oriented programming languages, as well as client and server applications development processes and multimedia and Internet technology.",111960.000000,497800.000000,6.000000,3.710000,4.000000,3.000000,10.000000,2.000000,0.325000,0.909091,0.833333,0.677500,0.540208,0.750000,0.368324,0.782011,True,Cao,Tự động hóa ngay
14648,15-1253.00,Software Quality Assurance Analysts and Testers,Document test procedures to ensure replicability and compliance with standards.,110260.000000,199800.000000,5.000000,4.300000,5.000000,2.000000,5.000000,3.200000,0.595000,0.545455,0.666667,0.825000,0.670417,1.000000,0.365682,0.776260,True,Trung bình,Tự động hóa ngay
3478,15-1211.00,Computer Systems Analysts,"Review and analyze computer printouts and performance indicators to locate code problems, and correct errors by correcting codes.",111960.000000,497800.000000,3.000000,3.600000,4.500000,2.000000,9.000000,2.444444,0.425000,0.909091,0.333333,0.650000,0.458333,0.875000,0.364583,0.773869,True,Trung bình,Tự động hóa ngay
14644,15-1253.00,Software Quality Assurance Analysts and Testers,Create or maintain databases of known test defects.,110260.000000,199800.000000,5.000000,4.150000,5.000000,2.000000,4.000000,3.000000,0.550000,0.545455,0.666667,0.787500,0.638542,1.000000,0.348295,0.738416,True,Trung bình,Tự động hóa ngay
980,11-3021.00,Computer and Information Systems Managers,Prepare and review operational reports or project progress reports.,187990.000000,645970.000000,5.000000,3.630000,3.500000,2.000000,11.000000,2.363636,0.406818,1.000000,0.666667,0.657500,0.534451,0.625000,0.334032,0.707369,True,Trung bình,Tự động hóa ngay
1288,15-1232.00,Computer User Support Specialists,"Read technical manuals, confer with users, or conduct computer diagnostics to investigate and resolve problems or to provide technical assistance and support.",64990.000000,697210.000000,6.000000,3.940000,3.666667,3.000000,10.000000,2.200000,0.370000,0.818182,0.833333,0.735000,0.577083,0.666667,0.314773,0.665449,True,Cao,Tự động hóa ngay
1320,15-1244.00,Network and Computer Systems Administrators,Operate master consoles to monitor the performance of computer systems and networks and to coordinate computer network access and use.,101190.000000,318570.000000,5.000000,3.870000,4.500000,2.000000,6.000000,1.833333,0.287500,0.727273,0.666667,0.717500,0.489792,0.875000,0.311686,0.658730,True,Trung bình,Tự động hóa ngay
20950,15-1211.00,Computer Systems Analysts,Troubleshoot program and system malfunctions to restore normal functioning.,111960.000000,497800.000000,3.000000,4.240000,3.666667,3.000000,11.000000,2.545455,0.447727,0.909091,0.333333,0.810000,0.509697,0.666667,0.308907,0.652682,True,Cao,Tự động hóa ngay
14641,15-1253.00,Software Quality Assurance Analysts and Testers,"Document software defects, using a bug tracking system, and report defects to software developers.",110260.000000,199800.000000,6.000000,4.680000,4.000000,3.000000,6.000000,3.333333,0.625000,0.545455,0.833333,0.920000,0.750833,0.750000,0.307159,0.648877,True,Trung bình,Tự động hóa ngay
3480,15-1211.00,Computer Systems Analysts,"Read manuals, periodicals, and technical reports to learn how to develop programs that meet staff and user requirements.",111960.000000,497800.000000,3.000000,3.210000,4.500000,2.000000,10.000000,1.900000,0.302500,0.909091,0.333333,0.552500,0.372708,0.875000,0.296473,0.625616,True,Trung bình,Tự động hóa ngay
3484,15-1211.00,Computer Systems Analysts,Specify inputs accessed by the system and plan the distribution and use of the results.,111960.000000,497800.000000,4.000000,3.480000,3.333333,3.000000,9.000000,2.777778,0.500000,0.909091,0.500000,0.620000,0.530000,0.583333,0.281061,0.592070,True,Cao,Tự động hóa ngay
14655,15-1253.00,Software Quality Assurance Analysts and Testers,"Conduct software compatibility tests with programs, hardware, operating systems, or network environments.",110260.000000,199800.000000,3.000000,3.880000,5.000000,2.000000,4.000000,2.750000,0.493750,0.545455,0.333333,0.720000,0.510208,1.000000,0.278295,0.586051,True,Trung bình,Tự động hóa ngay
971,11-3021.00,Computer and Information Systems Managers,"Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery.",187990.000000,645970.000000,3.000000,3.940000,3.000000,2.000000,10.000000,2.900000,0.527500,1.000000,0.333333,0.735000,0.530833,0.500000,0.265417,0.558019,True,Trung bình,Tự động hóa ngay
14650,15-1253.00,Software Quality Assurance Analysts and Testers,Update automated test scripts to ensure currency.,110260.000000,199800.000000,4.000000,4.090000,4.500000,2.000000,3.000000,2.666667,0.475000,0.545455,0.500000,0.772500,0.555625,0.875000,0.265185,0.557514,True,Trung bình,Tự động hóa ngay
3465,15-1211.00,Computer Systems Analysts,"Test, maintain, and monitor computer programs and systems, including coordinating the installation of computer programs and systems.",111960.000000,497800.000000,5.000000,4.000000,3.000000,2.000000,10.000000,2.300000,0.392500,0.909091,0.666667,0.750000,0.550417,0.500000,0.250189,0.524875,True,Trung bình,Tự động hóa ngay
14643,15-1253.00,Software Quality Assurance Analysts and Testers,Monitor bug resolution efforts and track successes.,110260.000000,199800.000000,5.000000,4.120000,4.000000,3.000000,4.000000,2.750000,0.493750,0.545455,0.666667,0.780000,0.608542,0.750000,0.248949,0.522174,True,Trung bình,Tự động hóa ngay
3474,15-1211.00,Computer Systems Analysts,"Analyze information processing or computation needs and plan and design computer systems, using techniques such as structured analysis, data modeling, and information engineering.",111960.000000,497800.000000,5.000000,3.600000,3.000000,2.000000,10.000000,2.400000,0.415000,0.909091,0.666667,0.650000,0.536667,0.500000,0.243939,0.511271,True,Trung bình,Tự động hóa ngay
1321,15-1244.00,Network and Computer Systems Administrators,"Perform routine network startup and shutdown procedures, and maintain control records.",101190.000000,318570.000000,3.000000,3.410000,4.666667,3.000000,6.000000,1.666667,0.250000,0.727273,0.333333,0.602500,0.358958,0.916667,0.239306,0.501184,True,Trung bình,Tự động hóa ngay
3482,15-1211.00,Computer Systems Analysts,"Use the computer in the analysis and solution of business problems, such as development of integrated production and inventory control and cost analysis systems.",111960.000000,497800.000000,5.000000,3.970000,2.666667,3.000000,10.000000,3.000000,0.550000,0.909091,0.666667,0.742500,0.627292,0.416667,0.237610,0.497495,True,Cao,Tự động hóa ngay
18993,15-1231.00,Computer Network Support Specialists,Document network support activities.,79610.000000,146450.000000,5.000000,4.090000,4.500000,2.000000,4.000000,2.500000,0.437500,0.454545,0.666667,0.772500,0.578542,0.875000,0.230102,0.481151,True,Trung bình,Tự động hóa ngay
1325,15-1244.00,Network and Computer Systems Administrators,Monitor network performance to determine whether adjustments are needed and where changes will be needed in the future.,101190.000000,318570.000000,5.000000,3.770000,3.333333,3.000000,9.000000,2.222222,0.375000,0.727273,0.666667,0.692500,0.527292,0.583333,0.223699,0.467216,True,Cao,Cân nhắc
14647,15-1253.00,Software Quality Assurance Analysts and Testers,"Review software documentation to ensure technical accuracy, compliance, or completeness, or to mitigate risks.",110260.000000,199800.000000,3.000000,3.710000,4.500000,2.000000,3.000000,2.333333,0.400000,0.545455,0.333333,0.677500,0.452708,0.875000,0.216065,0.450599,True,Trung bình,Cân nhắc
1329,15-1244.00,Network and Computer Systems Administrators,Analyze equipment performance records to determine the need for repair or replacement.,101190.000000,318570.000000,3.000000,3.650000,4.000000,3.000000,6.000000,1.833333,0.287500,0.727273,0.333333,0.662500,0.392708,0.750000,0.214205,0.446548,True,Trung bình,Cân nhắc
18989,15-1231.00,Computer Network Support Specialists,"Analyze network data to determine network usage, disk space availability, or server function.",79610.000000,146450.000000,5.000000,3.940000,4.666667,3.000000,3.000000,2.000000,0.325000,0.454545,0.666667,0.735000,0.512917,0.916667,0.213715,0.445483,True,Trung bình,Cân nhắc
14639,15-1253.00,Software Quality Assurance Analysts and Testers,Test system modifications to prepare for implementation.,110260.000000,199800.000000,3.000000,4.210000,3.666667,3.000000,4.000000,3.250000,0.606250,0.545455,0.333333,0.802500,0.587083,0.666667,0.213485,0.444982,True,Trung bình,Cân nhắc
18991,15-1231.00,Computer Network Support Specialists,Configure security settings or access permissions for groups or individuals.,79610.000000,146450.000000,5.000000,4.370000,4.666667,3.000000,6.000000,1.666667,0.250000,0.454545,0.666667,0.842500,0.502292,0.916667,0.209288,0.435847,True,Trung bình,Cân nhắc
14645,15-1253.00,Software Quality Assurance Analysts and Testers,Plan test schedules or strategies in accordance with project scope or delivery dates.,110260.000000,199800.000000,3.000000,4.000000,4.000000,3.000000,3.000000,2.666667,0.475000,0.545455,0.333333,0.750000,0.508333,0.750000,0.207955,0.432944,True,Trung bình,Cân nhắc
1322,15-1244.00,Network and Computer Systems Administrators,"Design, configure, and test computer hardware, networking software and operating system software.",101190.000000,318570.000000,3.000000,3.560000,3.500000,2.000000,5.000000,2.400000,0.415000,0.727273,0.333333,0.640000,0.450833,0.625000,0.204924,0.426349,True,Trung bình,Cân nhắc
14652,15-1253.00,Software Quality Assurance Analysts and Testers,"Install, maintain, or use software testing programs.",110260.000000,199800.000000,6.000000,4.260000,3.000000,2.000000,6.000000,3.500000,0.662500,0.545455,0.833333,0.815000,0.743333,0.500000,0.202727,0.421566,True,Trung bình,Cân nhắc
19004,15-1231.00,Computer Network Support Specialists,Back up network data.,79610.000000,146450.000000,5.000000,4.440000,4.500000,2.000000,6.000000,1.666667,0.250000,0.454545,0.666667,0.860000,0.506667,0.875000,0.201515,0.418928,True,Trung bình,Cân nhắc
5317,15-1212.00,Information Security Analysts,"Modify computer security files to incorporate new software, correct errors, or change individual access status.",127730.000000,179430.000000,3.000000,4.100000,3.500000,2.000000,8.000000,2.500000,0.437500,0.636364,0.333333,0.775000,0.495833,0.625000,0.197206,0.409550,True,Trung bình,Cân nhắc
14642,15-1253.00,Software Quality Assurance Analysts and Testers,"Identify, analyze, and document problems with program function, output, online screen, or content.",110260.000000,199800.000000,6.000000,4.700000,3.000000,3.000000,5.000000,3.000000,0.550000,0.545455,0.833333,0.925000,0.714583,0.500000,0.194886,0.404500,True,Trung bình,Cân nhắc
1270,15-1251.00,Computer Programmers,"Write, update, and maintain computer programs or software packages to handle specific jobs such as tracking inventory, storing or retrieving data, or controlling other equipment.",103640.000000,109870.000000,6.000000,4.150000,4.500000,2.000000,9.000000,2.333333,0.400000,0.363636,0.833333,0.787500,0.605208,0.875000,0.192566,0.399450,True,Trung bình,Cân nhắc
14654,15-1253.00,Software Quality Assurance Analysts and Testers,Monitor program performance to ensure efficient and problem-free operations.,110260.000000,199800.000000,4.000000,3.970000,3.500000,2.000000,4.000000,2.750000,0.493750,0.545455,0.500000,0.742500,0.557500,0.625000,0.190057,0.393987,True,Trung bình,Cân nhắc
5322,15-1212.00,Information Security Analysts,"Document computer security and emergency measures policies, procedures, and tests.",127730.000000,179430.000000,3.000000,3.940000,3.500000,2.000000,10.000000,2.400000,0.415000,0.636364,0.333333,0.735000,0.474583,0.625000,0.188755,0.391153,True,Trung bình,Cân nhắc
972,11-3021.00,Computer and Information Systems Managers,Review and approve all systems charts and programs prior to their implementation.,187990.000000,645970.000000,3.000000,3.680000,2.500000,2.000000,10.000000,2.800000,0.505000,1.000000,0.333333,0.670000,0.503333,0.375000,0.188750,0.391143,True,Trung bình,Cân nhắc
1318,15-1244.00,Network and Computer Systems Administrators,"Maintain and administer computer networks and related computing environments, including computer hardware, systems software, applications software, and all configurations.",101190.000000,318570.000000,6.000000,4.270000,2.500000,2.000000,10.000000,3.000000,0.550000,0.727273,0.833333,0.817500,0.687708,0.375000,0.187557,0.388546,True,Trung bình,Cân nhắc
5319,15-1212.00,Information Security Analysts,Monitor use of data files and regulate access to safeguard information in computer files.,127730.000000,179430.000000,5.000000,3.890000,3.000000,2.000000,10.000000,2.700000,0.482500,0.636364,0.666667,0.722500,0.588542,0.500000,0.187263,0.387907,True,Trung bình,Cân nhắc
5316,15-1212.00,Information Security Analysts,Monitor current reports of computer viruses to determine when to update virus protection systems.,127730.000000,179430.000000,5.000000,4.230000,3.000000,2.000000,8.000000,2.125000,0.353125,0.636364,0.666667,0.807500,0.545104,0.500000,0.173442,0.357823,True,Trung bình,Cân nhắc
19010,15-1231.00,Computer Network Support Specialists,Provide telephone support related to networking or connectivity issues.,79610.000000,146450.000000,5.000000,3.960000,3.666667,3.000000,5.000000,2.400000,0.415000,0.454545,0.666667,0.740000,0.559167,0.666667,0.169444,0.349122,True,Trung bình,Cân nhắc
14638,15-1253.00,Software Quality Assurance Analysts and Testers,"Design test plans, scenarios, scripts, or procedures.",110260.000000,199800.000000,3.000000,4.350000,3.333333,3.000000,6.000000,2.666667,0.475000,0.545455,0.333333,0.837500,0.530208,0.583333,0.168703,0.347507,True,Trung bình,Cân nhắc
970,11-3021.00,Computer and Information Systems Managers,Stay abreast of advances in technology.,187990.000000,645970.000000,4.000000,3.880000,2.500000,2.000000,10.000000,1.700000,0.257500,1.000000,0.500000,0.720000,0.433750,0.375000,0.162656,0.334346,True,Trung bình,Cân nhắc
1276,15-1251.00,Computer Programmers,"Prepare detailed workflow charts and diagrams that describe input, output, and logical operation, and convert them into a series of instructions coded in a computer language.",103640.000000,109870.000000,3.000000,3.580000,5.000000,2.000000,8.000000,2.250000,0.381250,0.363636,0.333333,0.645000,0.435208,1.000000,0.158258,0.324772,True,Trung bình,Cân nhắc
1273,15-1251.00,Computer Programmers,"Write, analyze, review, and rewrite programs, using workflow chart and diagram, and applying knowledge of computer capabilities, subject matter, and symbolic logic.",103640.000000,109870.000000,7.000000,4.420000,3.500000,2.000000,10.000000,2.600000,0.460000,0.363636,1.000000,0.855000,0.693750,0.625000,0.157670,0.323494,True,Trung bình,Cân nhắc
14653,15-1253.00,Software Quality Assurance Analysts and Testers,Provide feedback and recommendations to developers on software usability and functionality.,110260.000000,199800.000000,4.000000,4.270000,3.000000,3.000000,8.000000,2.750000,0.493750,0.545455,0.500000,0.817500,0.576250,0.500000,0.157159,0.322381,True,Cao,Cân nhắc
14649,15-1253.00,Software Quality Assurance Analysts and Testers,"Develop or specify standards, methods, or procedures to determine product quality or release readiness.",110260.000000,199800.000000,3.000000,4.120000,3.000000,3.000000,6.000000,3.000000,0.550000,0.545455,0.333333,0.780000,0.553333,0.500000,0.150909,0.308777,True,Trung bình,Cân nhắc
1292,15-1232.00,Computer User Support Specialists,"Prepare evaluations of software or hardware, and recommend improvements or upgrades.",64990.000000,697210.000000,3.000000,3.390000,3.000000,3.000000,8.000000,1.750000,0.268750,0.818182,0.333333,0.597500,0.367083,0.500000,0.150170,0.307169,True,Cao,Cân nhắc
1269,15-1251.00,Computer Programmers,"Compile and write documentation of program development and subsequent revisions, inserting comments in the coded instructions so others can understand the program.",103640.000000,109870.000000,5.000000,3.560000,4.666667,3.000000,8.000000,1.625000,0.240625,0.363636,0.666667,0.640000,0.446979,0.916667,0.148993,0.304606,True,Cao,Cân nhắc
14640,15-1253.00,Software Quality Assurance Analysts and Testers,"Develop testing programs that address areas such as database impacts, software scenarios, regression testing, negative testing, error or bug retests, or usability.",110260.000000,199800.000000,3.000000,4.520000,3.000000,2.000000,6.000000,2.666667,0.475000,0.545455,0.333333,0.880000,0.540833,0.500000,0.147500,0.301356,True,Trung bình,Cân nhắc
969,11-3021.00,Computer and Information Systems Managers,"Assign and review the work of systems analysts, programmers, and other computer-related workers.",187990.000000,645970.000000,5.000000,4.040000,2.000000,2.000000,10.000000,2.600000,0.460000,1.000000,0.666667,0.760000,0.586667,0.250000,0.146667,0.299543,True,Trung bình,Cân nhắc
14658,15-1253.00,Software Quality Assurance Analysts and Testers,"Identify program deviance from standards, and suggest modifications to ensure compliance.",110260.000000,199800.000000,4.000000,3.700000,3.500000,2.000000,4.000000,1.750000,0.268750,0.545455,0.500000,0.675000,0.428125,0.625000,0.145952,0.297986,True,Trung bình,Cân nhắc
1275,15-1251.00,Computer Programmers,"Investigate whether networks, workstations, the central processing unit of the system, or peripheral equipment are responding to a program's instructions.",103640.000000,109870.000000,3.000000,3.260000,5.000000,2.000000,10.000000,1.900000,0.302500,0.363636,0.333333,0.565000,0.375833,1.000000,0.136667,0.277776,True,Trung bình,Cân nhắc
21049,15-1251.00,Computer Programmers,Develop Web sites.,103640.000000,109870.000000,5.000000,3.240000,4.000000,2.000000,9.000000,2.111111,0.350000,0.363636,0.666667,0.560000,0.481667,0.750000,0.131364,0.266233,True,Trung bình,Cân nhắc
19003,15-1231.00,Computer Network Support Specialists,Analyze and report computer network security breaches or attempted breaches.,79610.000000,146450.000000,3.000000,4.260000,3.333333,3.000000,6.000000,2.333333,0.400000,0.454545,0.333333,0.815000,0.487083,0.583333,0.129151,0.261417,True,Trung bình,Cân nhắc
979,11-3021.00,Computer and Information Systems Managers,Evaluate data processing proposals to assess project feasibility and requirements.,187990.000000,645970.000000,3.000000,3.590000,2.000000,2.000000,10.000000,2.900000,0.527500,1.000000,0.333333,0.647500,0.508958,0.250000,0.127240,0.257257,True,Trung bình,Cân nhắc
974,11-3021.00,Computer and Information Systems Managers,Control operational budget and expenditures.,187990.000000,645970.000000,3.000000,3.530000,2.000000,2.000000,10.000000,2.800000,0.505000,1.000000,0.333333,0.632500,0.493958,0.250000,0.123490,0.249094,True,Trung bình,Giữ nguyên / Theo dõi
1323,15-1244.00,Network and Computer Systems Administrators,"Recommend changes to improve systems and network configurations, and determine hardware or software requirements related to such changes.",101190.000000,318570.000000,3.000000,3.570000,2.666667,3.000000,9.000000,1.888889,0.300000,0.727273,0.333333,0.642500,0.393958,0.416667,0.119381,0.240152,True,Cao,Giữ nguyên / Theo dõi
14707,15-1254.00,Web Developers,Write supporting code for Web applications or Web sites.,98790.000000,78860.000000,7.000000,4.580000,4.666667,3.000000,10.000000,2.700000,0.482500,0.181818,1.000000,0.895000,0.715000,0.916667,0.119167,0.239685,True,Cao,Giữ nguyên / Theo dõi
5314,15-1212.00,Information Security Analysts,"Develop plans to safeguard computer files against accidental or unauthorized modification, destruction, or disclosure and to meet emergency data processing needs.",127730.000000,179430.000000,4.000000,4.400000,2.333333,3.000000,9.000000,2.444444,0.425000,0.636364,0.500000,0.850000,0.550000,0.333333,0.116667,0.234243,True,Cao,Giữ nguyên / Theo dõi
1300,15-1242.00,Database Administrators,"Test programs or databases, correct errors, and make necessary modifications.",107440.000000,73180.000000,5.000000,3.680000,4.000000,3.000000,8.000000,2.625000,0.465625,0.272727,0.666667,0.670000,0.566979,0.750000,0.115973,0.232733,True,Cao,Giữ nguyên / Theo dõi
978,11-3021.00,Computer and Information Systems Managers,Review project plans to plan and coordinate project activity.,187990.000000,645970.000000,3.000000,4.080000,2.000000,2.000000,10.000000,2.200000,0.370000,1.000000,0.333333,0.770000,0.460833,0.250000,0.115208,0.231069,True,Trung bình,Giữ nguyên / Theo dõi
1277,15-1251.00,Computer Programmers,Perform systems analysis and programming tasks to maintain and control the use of computer systems software as a systems programmer.,103640.000000,109870.000000,5.000000,3.280000,3.500000,2.000000,8.000000,2.125000,0.353125,0.363636,0.666667,0.570000,0.485729,0.625000,0.110393,0.220588,True,Trung bình,Giữ nguyên / Theo dõi
1272,15-1251.00,Computer Programmers,"Perform or direct revision, repair, or expansion of existing programs to increase operating efficiency or adapt to new requirements.",103640.000000,109870.000000,5.000000,4.370000,3.000000,2.000000,8.000000,2.500000,0.437500,0.363636,0.666667,0.842500,0.596042,0.500000,0.108371,0.216187,True,Trung bình,Giữ nguyên / Theo dõi
1267,15-1251.00,Computer Programmers,Correct errors by making appropriate changes and rechecking the program to ensure that the desired results are produced.,103640.000000,109870.000000,6.000000,4.380000,3.000000,2.000000,10.000000,2.000000,0.325000,0.363636,0.833333,0.845000,0.582083,0.500000,0.105833,0.210663,True,Trung bình,Giữ nguyên / Theo dõi
1299,15-1242.00,Database Administrators,Modify existing databases and database management systems or direct programmers and analysts to make changes.,107440.000000,73180.000000,3.000000,4.000000,4.500000,2.000000,6.000000,1.833333,0.287500,0.272727,0.333333,0.750000,0.414583,0.875000,0.098935,0.195647,True,Trung bình,Giữ nguyên / Theo dõi
1274,15-1251.00,Computer Programmers,Write or contribute to instructions or manuals to guide end users.,103640.000000,109870.000000,4.000000,3.270000,4.000000,3.000000,10.000000,1.400000,0.190000,0.363636,0.500000,0.567500,0.361875,0.750000,0.098693,0.195121,True,Cao,Giữ nguyên / Theo dõi
3470,15-1211.00,Computer Systems Analysts,Expand or modify system to serve new purposes or improve work flow.,111960.000000,497800.000000,3.000000,3.470000,2.000000,2.000000,11.000000,2.181818,0.365909,0.909091,0.333333,0.617500,0.420663,0.250000,0.095605,0.188400,True,Trung bình,Giữ nguyên / Theo dõi
19011,15-1231.00,Computer Network Support Specialists,Research hardware or software products to meet technical networking or security needs.,79610.000000,146450.000000,4.000000,3.340000,3.333333,3.000000,3.000000,1.333333,0.175000,0.454545,0.500000,0.585000,0.358750,0.583333,0.095123,0.187351,True,Trung bình,Giữ nguyên / Theo dõi
19002,15-1231.00,Computer Network Support Specialists,Troubleshoot network or connectivity problems for users or user groups.,79610.000000,146450.000000,3.000000,3.960000,2.500000,2.000000,7.000000,2.857143,0.517857,0.454545,0.333333,0.740000,0.527262,0.375000,0.089874,0.175926,True,Trung bình,Giữ nguyên / Theo dõi
1290,15-1232.00,Computer User Support Specialists,"Develop training materials and procedures, or train users in the proper use of hardware or software.",64990.000000,697210.000000,3.000000,3.300000,2.333333,3.000000,9.000000,1.444444,0.200000,0.818182,0.333333,0.575000,0.327083,0.333333,0.089205,0.174468,True,Cao,Giữ nguyên / Theo dõi
1313,15-1242.00,Database Administrators,"Write and code logical and physical database descriptions and specify identifiers of database to management system, or direct others in coding descriptions.",107440.000000,73180.000000,4.000000,3.150000,4.500000,2.000000,3.000000,1.333333,0.175000,0.272727,0.500000,0.537500,0.346875,0.875000,0.082777,0.160478,True,Trung bình,Giữ nguyên / Theo dõi
14700,15-1254.00,Web Developers,"Evaluate code to ensure that it is valid, is properly structured, meets industry standards, and is compatible with browsers, devices, or operating systems.",98790.000000,78860.000000,4.000000,4.090000,4.000000,3.000000,10.000000,3.100000,0.572500,0.181818,0.500000,0.772500,0.604375,0.750000,0.082415,0.159689,True,Cao,Giữ nguyên / Theo dõi
1319,15-1244.00,Network and Computer Systems Administrators,"Plan, coordinate, and implement network security measures to protect data, software, and hardware.",101190.000000,318570.000000,3.000000,3.740000,2.000000,2.000000,7.000000,2.285714,0.389286,0.727273,0.333333,0.685000,0.449226,0.250000,0.081677,0.158084,True,Trung bình,Giữ nguyên / Theo dõi
14698,15-1254.00,Web Developers,Back up files from Web sites to local directories for instant recovery in case of problems.,98790.000000,78860.000000,5.000000,4.350000,4.666667,3.000000,10.000000,1.500000,0.212500,0.181818,0.666667,0.837500,0.482292,0.916667,0.080382,0.155264,True,Cao,Giữ nguyên / Theo dõi
